runkey,groupofcontracts,type,maturityidentifier,rate
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,141M,0.011288774
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,142M,0.011274119
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,143M,0.011281574
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,144M,0.011284829
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,145M,0.011283743
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,146M,0.011278459
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,147M,0.011268918
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,148M,0.011255073
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,149M,0.01123695
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,150M,0.011214501
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,151M,0.011187763
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,152M,0.011156739
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,153M,0.011121298
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,154M,0.011074953
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,155M,0.011030306
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,156M,0.010990743
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,157M,0.010956155
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,158M,0.010926677
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,159M,0.010902317
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,160M,0.010883018
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,161M,0.010868839
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,162M,0.010859766
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,163M,0.010855825
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,164M,0.010857076
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,165M,0.010863411
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,166M,0.01087637
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,167M,0.010890566
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,168M,0.010895618
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,169M,0.010891455
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,170M,0.010878128
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,171M,0.010855614
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,172M,0.010823843
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,173M,0.010782818
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,174M,0.01073253
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,175M,0.010672922
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,176M,0.010604059
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,177M,0.01052579
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,178M,0.010467066
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,179M,0.010416058
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,180M,0.010372694
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,181M,0.010336979
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,182M,0.010308979
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,183M,0.010288684
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,184M,0.010276101
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,185M,0.010271254
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,186M,0.010274184
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,187M,0.010284834
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,188M,0.01030335
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,189M,0.010329591
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,190M,0.010340417
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,191M,0.010348855
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,192M,0.010347069
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,193M,0.010335074
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,194M,0.01031285
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,195M,0.010280388
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,196M,0.010237633
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,197M,0.010184611
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,198M,0.010121277
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,199M,0.010047575
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,200M,0.009963592
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,201M,0.00986919
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,202M,0.009787373
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,203M,0.009722023
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,204M,0.009658485
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,205M,0.009596789
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,206M,0.009536942
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,207M,0.009478948
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,208M,0.009422787
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,209M,0.009368522
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,210M,0.00931612
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,211M,0.009265546
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,212M,0.009216897
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,213M,0.009170065
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,214M,0.009118962
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,215M,0.009063511
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,216M,0.00900861
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,217M,0.008954298
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,218M,0.008900592
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,219M,0.00884748
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,220M,0.008794929
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,221M,0.008743012
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,222M,0.008691704
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,223M,0.008640957
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,224M,0.008590853
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,225M,0.008541295
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,226M,0.008484863
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,227M,0.008422609
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,228M,0.008364177
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,229M,0.008309635
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,230M,0.008258978
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,231M,0.008212223
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,232M,0.008169318
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,233M,0.008130361
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,234M,0.00809532
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,235M,0.008064139
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,236M,0.008036928
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,237M,0.008013568
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,238M,0.008015334
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,239M,0.008016845
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,240M,0.008012321
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,241M,0.008001804
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,242M,0.007985265
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,243M,0.007962721
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,244M,0.007934131
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,245M,0.007899524
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,246M,0.007858928
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,247M,0.007812217
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,248M,0.007759527
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,249M,0.007700721
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,250M,0.007619517
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,251M,0.007545541
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,252M,0.007474686
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,253M,0.007407002
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,254M,0.007342471
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,255M,0.00728112
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,256M,0.007222916
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,257M,0.007167896
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,258M,0.007116099
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,259M,0.007067395
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,260M,0.007021963
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,261M,0.006979624
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,262M,0.006919079
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,263M,0.006841186
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,264M,0.006773038
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,265M,0.006714691
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,266M,0.006666117
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,267M,0.006627369
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,268M,0.006598406
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,269M,0.006579269
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,270M,0.006569998
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,271M,0.006570456
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,272M,0.006580861
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,273M,0.006600993
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,274M,0.00661693
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,275M,0.006620863
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,276M,0.006619626
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,277M,0.006613287
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,278M,0.006601783
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,279M,0.006585171
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,280M,0.006563399
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,281M,0.006536511
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,282M,0.006504513
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,283M,0.006467271
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,284M,0.006425006
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,285M,0.006377463
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,286M,0.006342348
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,287M,0.006319395
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,288M,0.006294066
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,289M,0.006266422
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,290M,0.006236413
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,291M,0.006204111
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,292M,0.006169454
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,293M,0.006132477
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,294M,0.006093202
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,295M,0.006051506
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,296M,0.006007591
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,297M,0.005961225
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,298M,0.005889834
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,299M,0.005807007
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,300M,0.005737588
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,301M,0.005681678
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,302M,0.005639184
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,303M,0.005610218
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,304M,0.005594711
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,305M,0.005592703
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,306M,0.005604221
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,307M,0.005629135
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,308M,0.005667691
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,309M,0.005719615
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,310M,0.005778347
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,311M,0.005827256
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,312M,0.0058634
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,313M,0.005886857
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,314M,0.005897561
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,315M,0.005895565
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,316M,0.005880828
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,317M,0.005853354
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,318M,0.005813198
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,319M,0.005760175
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,320M,0.005694555
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,321M,0.005616048
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,322M,0.005529034
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,323M,0.005450742
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,324M,0.005384944
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,325M,0.005331776
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,326M,0.005291145
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,327M,0.005263123
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,328M,0.005247678
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,329M,0.00524482
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,330M,0.005254625
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,331M,0.00527689
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,332M,0.005311904
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,333M,0.005359382
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,334M,0.005393964
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,335M,0.005406243
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,336M,0.00541785
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,337M,0.005428867
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,338M,0.005439237
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,339M,0.005449005
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,340M,0.00545816
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,341M,0.0054667
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,342M,0.005474694
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,343M,0.005481938
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,344M,0.005488704
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,345M,0.005494726
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,346M,0.006937789
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,347M,0.007235693
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,348M,0.007533513
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,349M,0.00783138
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,350M,0.008129184
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,351M,0.008427007
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,352M,0.008724813
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,353M,0.009022634
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,354M,0.009320492
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,355M,0.009618226
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,356M,0.009916062
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,357M,0.010213768
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,358M,0.010500542
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,359M,0.010787368
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,360M,0.011074101
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,361M,0.011360883
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,362M,0.011647619
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,363M,0.011934353
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,364M,0.012221097
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,365M,0.012507847
IFRS17_ALL,H0002100~TRANSITION,monthlyforward,366M,0.012794648
